chromosome,read interval,reads,length of read,result,status
chr1,"(6368637, 6368650)",3,13,['MinDist3:21765'],['F3']
chr1,"(6371185, 6371197)",1,12,['MinDist3:24313'],['F3']
chr1,"(6374952, 6374962)",1,10,['MinDist3:28080'],['F3']
chr1,"(6375098, 6375110)",1,12,['MinDist3:28226'],['F3']
chr1,"(6375863, 6375879)",1,16,['MinDist3:28991'],['F3']
chr1,"(6376074, 6376087)",1,13,['MinDist3:29202'],['F3']
chr1,"(6379848, 6379860)",1,12,['MinDist3:32976'],['F3']
chr1,"(6380535, 6380550)",1,15,['MinDist3:33663'],['F3']
chr1,"(6382875, 6382887)",3,12,['MinDist3:36003'],['F3']
chr1,"(6386548, 6386559)",1,11,['MinDist3:39676'],['F3']
chr1,"(6388224, 6388233)",1,9,['MinDist5:41208'],['F5']
chr1,"(6388534, 6388544)",2,10,['MinDist5:40897'],['F5']
chr1,"(6389237, 6389252)",2,15,['MinDist5:40189'],['F5']
chr1,"(6390073, 6390085)",1,12,['MinDist5:39356'],['F5']
chr1,"(6391961, 6391975)",1,14,['MinDist5:37466'],['F5']
chr1,"(6393420, 6393432)",1,12,['MinDist5:36009'],['F5']
chr1,"(6393825, 6393846)",1,21,['MinDist5:35595'],['F5']
chr1,"(6394269, 6394280)",1,11,['MinDist5:35161'],['F5']
chr1,"(6395395, 6395407)",1,12,['MinDist5:34034'],['F5']
chr1,"(6396143, 6396158)",1,15,['MinDist5:33283'],['F5']
chr1,"(6396735, 6396746)",1,11,['MinDist5:32695'],['F5']
chr1,"(6397748, 6397760)",1,12,['MinDist5:31681'],['F5']
chr1,"(6399687, 6399698)",1,11,['MinDist5:29743'],['F5']
chr1,"(6399934, 6399948)",1,14,['MinDist5:29493'],['F5']
chr1,"(6400241, 6400263)",1,22,['MinDist5:29178'],['F5']
chr1,"(6400814, 6400826)",1,12,['MinDist5:28615'],['F5']
chr1,"(6401325, 6401336)",1,11,['MinDist5:28105'],['F5']
chr1,"(6402098, 6402110)",1,12,['MinDist5:27331'],['F5']
chr1,"(6407136, 6407147)",2,11,['MinDist5:22294'],['F5']
chr1,"(6407329, 6407340)",1,11,['MinDist5:22101'],['F5']
chr1,"(6409092, 6409107)",2,15,['MinDist5:20334'],['F5']
chr1,"(6413550, 6413571)",1,21,['MinDist5:15870'],['F5']
chr1,"(6414119, 6414133)",1,14,['MinDist5:15308'],['F5']
chr1,"(6417722, 6417741)",1,19,['MinDist5:11700'],['F5']
chr1,"(6418318, 6418328)",1,10,['MinDist5:11113'],['F5']
chr1,"(6421720, 6421732)",1,12,['MinDist5:7709'],['F5']
chr1,"(6423005, 6423018)",1,13,['MinDist5:6423'],['F5']
chr1,"(6426413, 6426425)",1,12,['MinDist5:3016'],['F5']
chr1,"(6426435, 6426446)",1,11,['MinDist5:2995'],['F5']
chr1,"(6426896, 6426913)",1,17,['MinDist5:2528'],['F5']
chr1,"(6427417, 6427431)",1,14,['MinDist5:2010'],['F5']
chr1,"(6428169, 6428179)",1,10,['MinDist5:1262'],['F5']
chr1,"(6429810, 6429821)",2,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6433774, 6433786)",1,12,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6434734, 6434745)",1,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6437874, 6437886)",1,12,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6439578, 6439591)",2,13,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6440438, 6440449)",4,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6441820, 6441831)",1,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6443635, 6443651)",1,16,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6443971, 6443982)",1,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6444570, 6444581)",1,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6445609, 6445619)",1,10,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6450662, 6450673)",1,11,['Gm2147-201'],['A']
chr1,"(6450693, 6450704)",1,11,['Gm2147-201'],['A']
chr1,"(6451559, 6451577)",1,18,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6452840, 6452859)",1,19,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6453224, 6453237)",2,13,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6453463, 6453480)",2,17,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6454162, 6454189)",1,27,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6456028, 6456050)",2,22,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6457947, 6457961)",1,14,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6457999, 6458010)",2,11,"[['Alkal1-201', 1, 2.0]]",['U']
chr1,"(6459327, 6459343)",2,16,"[['Alkal1-201', 2, 3.0]]",['U']
chr1,"(6459635, 6459646)",1,11,"[['Alkal1-201', 2, 3.0]]",['U']
chr1,"(6459867, 6459878)",1,11,"[['Alkal1-201', 3, 4.0]]",['U']
chr1,"(6460107, 6460119)",1,12,"[['Alkal1-201', 3, 4.0]]",['U']
chr1,"(6461934, 6461944)",1,10,"[['Alkal1-201', 4, 5.0]]",['U']
chr1,"(6462423, 6462437)",1,14,"[['Alkal1-201', 4, 5.0]]",['U']
chr1,"(6464406, 6464418)",2,12,"[['Alkal1-201', 4, 5.0]]",['U']
chr1,"(6464406, 6606454)",2,142048,[],['S']
chr1,"(6464857, 6464869)",1,12,['MinDist3:13601'],['F3']
chr1,"(6465701, 6465714)",2,13,['MinDist3:746'],['F3']
chr1,"(6466458, 6466472)",1,14,['MinDist3:1503'],['F3']
chr1,"(6470508, 6470522)",1,14,['MinDist3:5553'],['F3']
chr1,"(6472735, 6472754)",1,19,['MinDist3:7780'],['F3']
chr1,"(6473190, 6473201)",1,11,['MinDist3:8235'],['F3']
chr1,"(6473746, 6473759)",1,13,['MinDist3:8791'],['F3']
chr1,"(6474731, 6474744)",1,13,['MinDist3:9776'],['F3']
chr1,"(6475527, 6475539)",1,12,['MinDist3:10572'],['F3']
chr1,"(6476637, 6476650)",1,13,['MinDist3:11682'],['F3']
chr1,"(6479973, 6479985)",1,12,['MinDist3:15018'],['F3']
chr1,"(6480587, 6480599)",4,12,['MinDist3:15632'],['F3']
chr1,"(6480717, 6480728)",1,11,['MinDist3:15762'],['F3']
chr1,"(6481162, 6481177)",1,15,['MinDist3:16207'],['F3']
chr1,"(6482935, 6482949)",13,14,['MinDist3:17980'],['F3']
chr1,"(6482935, 6482960)",1,25,['MinDist3:17980'],['F3']
chr1,"(6482935, 6482955)",2,20,['MinDist3:17980'],['F3']
chr1,"(6486144, 6486158)",1,14,['MinDist3:21189'],['F3']
chr1,"(6486243, 6486253)",1,10,['MinDist3:21288'],['F3']
chr1,"(6488110, 6488120)",1,10,['MinDist3:23155'],['F3']
chr1,"(6488190, 6488202)",2,12,['MinDist3:23235'],['F3']
chr1,"(6488745, 6488755)",1,10,['MinDist3:23790'],['F3']
chr1,"(6490290, 6490300)",3,10,['MinDist3:25335'],['F3']
chr1,"(6490532, 6490543)",1,11,['MinDist3:25577'],['F3']
chr1,"(6492570, 6492581)",1,11,['MinDist3:27615'],['F3']
chr1,"(6493234, 6493245)",1,11,['MinDist3:28279'],['F3']
chr1,"(6493772, 6493784)",1,12,['MinDist3:28817'],['F3']
chr1,"(6494090, 6494101)",1,11,['MinDist3:29135'],['F3']
chr1,"(6494625, 6494641)",1,16,['MinDist3:29670'],['F3']
chr1,"(6495835, 6495846)",1,11,['MinDist3:30880'],['F3']
chr1,"(6498409, 6498421)",1,12,['MinDist3:33454'],['F3']
chr1,"(6504186, 6504196)",1,10,['MinDist3:39231'],['F3']
chr1,"(6504931, 6504942)",1,11,['MinDist3:39976'],['F3']
chr1,"(6508082, 6508093)",1,11,['MinDist3:43127'],['F3']
chr1,"(6508904, 6508923)",1,19,['MinDist3:43949'],['F3']
chr1,"(6512178, 6512190)",2,12,['MinDist5:45264'],['F5']
chr1,"(6512665, 6512676)",1,11,['MinDist5:44778'],['F5']
chr1,"(6513401, 6513412)",1,11,['MinDist5:44042'],['F5']
chr1,"(6515189, 6515200)",1,11,['MinDist5:42254'],['F5']
chr1,"(6517289, 6517301)",1,12,['MinDist5:40153'],['F5']
chr1,"(6518593, 6518609)",1,16,['MinDist5:38845'],['F5']
chr1,"(6519554, 6519573)",1,19,['MinDist5:37881'],['F5']
chr1,"(6520093, 6520104)",2,11,['MinDist5:37350'],['F5']
chr1,"(6520542, 6520556)",1,14,['MinDist5:36898'],['F5']
chr1,"(6523705, 6523715)",1,10,['MinDist5:33739'],['F5']
chr1,"(6528552, 6528565)",1,13,['MinDist5:28889'],['F5']
chr1,"(6530791, 6530809)",1,18,['MinDist5:26645'],['F5']
chr1,"(6531321, 6531332)",1,11,['MinDist5:26122'],['F5']
chr1,"(6534246, 6534257)",1,11,['MinDist5:23197'],['F5']
chr1,"(6535050, 6535068)",1,18,['MinDist5:22386'],['F5']
chr1,"(6535551, 6535563)",1,12,['MinDist5:21891'],['F5']
chr1,"(6536301, 6536312)",1,11,['MinDist5:21142'],['F5']
chr1,"(6537491, 6537501)",1,10,['MinDist5:19953'],['F5']
chr1,"(6539114, 6539125)",2,11,['MinDist5:18329'],['F5']
chr1,"(6539656, 6539667)",1,11,['MinDist5:17787'],['F5']
chr1,"(6539806, 6539817)",1,11,['MinDist5:17637'],['F5']
chr1,"(6540865, 6540876)",1,11,['MinDist5:16578'],['F5']
chr1,"(6543232, 6543242)",1,10,['MinDist5:14212'],['F5']
chr1,"(6543872, 6543884)",1,12,['MinDist5:13570'],['F5']
chr1,"(6545052, 6545064)",1,12,['MinDist5:12390'],['F5']
chr1,"(6545096, 6545111)",1,15,['MinDist5:12343'],['F5']
chr1,"(6545096, 6545118)",1,22,['MinDist5:12336'],['F5']
chr1,"(6547287, 6547305)",2,18,['MinDist5:10149'],['F5']
chr1,"(6547423, 6547434)",1,11,['MinDist5:10020'],['F5']
chr1,"(6552293, 6552306)",1,13,['MinDist5:5148'],['F5']
chr1,"(6552538, 6552550)",1,12,['MinDist5:4904'],['F5']
chr1,"(6553290, 6553305)",3,15,['MinDist5:4149'],['F5']
chr1,"(6554558, 6554569)",1,11,['MinDist5:2885'],['F5']
chr1,"(6554957, 6554969)",2,12,['MinDist5:2485'],['F5']
chr1,"(6555345, 6555356)",1,11,['MinDist5:2098'],['F5']
chr1,"(6556625, 6556636)",1,11,['MinDist5:818'],['F5']
chr1,"(6557964, 6557965)",1,1,"[['St18-208', 2, 3.0]]",['A']
chr1,"(6559129, 6559141)",2,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6561074, 6561088)",1,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6573905, 6573916)",2,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6574298, 6574318)",1,20,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6575164, 6575181)",1,17,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6580473, 6580485)",2,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6580526, 6580536)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6581453, 6581466)",1,13,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6583227, 6583238)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6585409, 6585420)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6586695, 6586711)",1,16,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6587700, 6587712)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6589991, 6590001)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6591287, 6591298)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6591470, 6591481)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6593892, 6593902)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6593915, 6593931)",1,16,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6597192, 6597204)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6598232, 6598244)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6600089, 6600107)",1,18,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6606076, 6606087)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6609405, 6609416)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6609941, 6609951)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6610727, 6610739)",2,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6611121, 6611136)",1,15,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6611552, 6611564)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6611692, 6611706)",1,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6611849, 6611862)",2,13,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6614303, 6614315)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6614883, 6614898)",2,15,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6616443, 6616457)",2,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6616581, 6616593)",5,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6629159, 6629173)",1,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6653299, 6653311)",2,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6654070, 6654081)",1,11,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6657491, 6657506)",1,15,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6660788, 6660800)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6691441, 6691453)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6710517, 6710527)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6728495, 6728507)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6747914, 6747924)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6748096, 6748111)",1,15,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6749154, 6749168)",1,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6765292, 6765304)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6772413, 6772423)",1,10,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6779763, 6779775)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6782717, 6782729)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6785676, 6785689)",1,13,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6793543, 6793559)",1,16,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6794363, 6794379)",2,16,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6797789, 6797803)",1,14,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6803622, 6803634)",1,12,"[['St18-208', 2, 3.0]]",['U']
chr1,"(6812546, 6812557)",1,11,"[['St18-208', 3, 4.0]]",['U']
chr1,"(6818954, 6818975)",1,21,"[['St18-208', 3, 4.0]]",['U']
chr1,"(6822116, 6822128)",2,12,"[['St18-208', 3, 4.0]]",['U']
chr1,"(6823512, 6823527)",1,15,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6827010, 6827022)",1,12,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6827680, 6827697)",1,17,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6827680, 6827698)",2,18,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6831211, 6831235)",1,24,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6836672, 6836691)",1,19,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6837642, 6837651)",1,9,"[['St18-208', 4, 5.0]]",['U']
chr1,"(6840646, 6840662)",6,16,"[['St18-208', 5, 6.0]]",['U']
chr1,"(6841661, 6841683)",1,22,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6841922, 6841946)",1,24,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6844388, 6844405)",1,17,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6845543, 6845559)",1,16,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6845950, 6845964)",1,14,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6848781, 6848792)",1,11,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6862630, 6862643)",1,13,"[['St18-208', 6, 7.0]]",['U']
chr1,"(6866114, 6866126)",1,12,"[['St18-208', 7, 8.0]]",['U']
chr1,"(6868736, 6868751)",1,15,"[['St18-208', 7, 8.0]]",['U']
chr1,"(6872311, 6872329)",1,18,"[['St18-208', 7, 8.0]]",['U']
chr1,"(6872681, 6872709)",1,28,"[['St18-208', 8, 9.0]]",['A']
chr1,"(6879293, 6879311)",1,18,"[['St18-208', 9, 10.0]]",['U']
chr1,"(6879293, 6879308)",2,15,"[['St18-208', 9, 10.0]]",['U']
chr1,"(6879855, 6879869)",1,14,"[['St18-208', 10, 11.0]]",['U']
chr1,"(6880083, 6880094)",1,11,"[['St18-208', 10, 11.0]]",['U']
chr1,"(6884405, 6884417)",1,12,"[['St18-208', 11, 12.0]]",['U']
chr1,"(6887469, 6887480)",1,11,"[['St18-208', 11, 12.0]]",['U']
chr1,"(6889272, 6889286)",2,14,"[['St18-208', 12, 13.0]]",['U']
chr1,"(6891343, 6891354)",2,11,"[['St18-208', 13, 14.0]]",['U']
chr1,"(6893154, 6893169)",1,15,"[['St18-208', 13, 14.0]]",['U']
chr1,"(6895474, 6895495)",1,21,"[['St18-208', 13, 14.0]]",['U']
chr1,"(6897225, 6897241)",2,16,"[['St18-208', 13, 14.0]]",['U']
chr1,"(6900650, 6900671)",1,21,"[['St18-208', 14, 15.0]]",['U']
chr1,"(6904883, 6904894)",1,11,"[['St18-208', 15, 16.0]]",['U']
chr1,"(6904968, 6904979)",1,11,"[['St18-208', 15, 16.0]]",['U']
chr1,"(6906072, 6906084)",1,12,"[['St18-208', 15, 16.0]]",['U']
chr1,"(6915366, 6915378)",2,12,"[['St18-208', 19, 20.0]]",['U']
chr1,"(6916994, 6917006)",2,12,"[['St18-208', 20, 21.0]]",['U']
chr1,"(6917936, 6917948)",1,12,"[['St18-208', 20, 21.0]]",['U']
chr1,"(6918562, 6918576)",1,14,"[['St18-208', 20, 21.0]]",['U']
chr1,"(6923383, 6923395)",1,12,"[['St18-208', 21, 22.0]]",['U']
chr1,"(6925457, 6925468)",1,11,"[['St18-208', 21, 22.0]]",['U']
chr1,"(6925611, 6925623)",1,12,"[['St18-208', 22, 23.0]]",['A']
chr1,"(6927328, 6927339)",1,11,"[['St18-208', 22, 23.0]]",['U']
chr1,"(6930577, 6930590)",1,13,['MinDist5:50193'],['F5']
chr1,"(6933993, 6934005)",1,12,['MinDist3:2829'],['F3']
chr1,"(6934234, 6934245)",1,11,['MinDist3:3070'],['F3']
chr1,"(6935763, 6935787)",1,24,['MinDist3:4599'],['F3']
chr1,"(6942999, 6943016)",1,17,['MinDist3:11835'],['F3']
chr1,"(6943501, 6943518)",1,17,['MinDist3:12337'],['F3']
chr1,"(6946318, 6946329)",1,11,['MinDist3:15154'],['F3']
chr1,"(6948078, 6948089)",1,11,['MinDist3:16914'],['F3']
chr1,"(6948284, 6948296)",1,12,['MinDist3:17120'],['F3']
chr1,"(6948443, 6948458)",1,15,['MinDist3:17279'],['F3']
chr1,"(6952790, 6952806)",1,16,['MinDist3:21626'],['F3']
chr1,"(6957128, 6957140)",1,12,['MinDist5:23643'],['F5']
chr1,"(6957779, 6957793)",1,14,['MinDist5:22990'],['F5']
chr1,"(6961186, 6961202)",2,16,['MinDist5:19581'],['F5']
chr1,"(6963299, 6963313)",2,14,['MinDist5:17470'],['F5']
chr1,"(6963959, 6963973)",1,14,['MinDist5:16810'],['F5']
chr1,"(6967429, 6967440)",1,11,['MinDist5:13343'],['F5']
chr1,"(6970849, 6970861)",1,12,['MinDist5:9922'],['F5']
chr1,"(6976686, 6976697)",1,11,['MinDist5:4086'],['F5']
chr1,"(6977420, 6977430)",1,10,['MinDist5:3353'],['F5']
chr1,"(6979734, 6979745)",2,11,['MinDist5:1038'],['F5']
chr1,"(6981362, 6981374)",1,12,['Gm7449-201'],['A']
chr1,"(6984220, 6984233)",1,13,['MinDist5:2549'],['F5']
chr1,"(6987666, 6987680)",3,14,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6987876, 6987890)",1,14,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6988071, 6988083)",1,12,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6988583, 6988595)",1,12,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6990961, 6990976)",1,15,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6991711, 6991721)",1,10,"[['Gm37108-201', 1, 2.0]]",['U']
chr1,"(6993859, 6993872)",1,13,['MinDist3:47'],['3T']
chr1,"(6994030, 6994044)",1,14,['MinDist3:218'],['3T']
chr1,"(6994442, 6994458)",1,16,['MinDist3:630'],['F3']
chr1,"(6994445, 6994458)",9,13,['MinDist3:633'],['F3']
chr1,"(6994566, 6994576)",1,10,['MinDist3:754'],['F3']
chr1,"(6994678, 6994693)",1,15,['MinDist3:866'],['F3']
chr1,"(6995293, 6995304)",1,11,['MinDist3:1481'],['F3']
chr1,"(6995473, 6995489)",1,16,['MinDist3:1661'],['F3']
chr1,"(6995604, 6995614)",1,10,['MinDist3:1792'],['F3']
chr1,"(6995630, 6995641)",1,11,['MinDist3:1818'],['F3']
chr1,"(6995934, 6995947)",1,13,['MinDist3:2122'],['F3']
chr1,"(6996011, 6996022)",1,11,['MinDist3:2199'],['F3']
chr1,"(6996117, 6996129)",1,12,['MinDist3:2305'],['F3']
chr1,"(6996484, 6996496)",1,12,['MinDist3:2672'],['F3']
chr1,"(6996535, 6996549)",1,14,['MinDist3:2723'],['F3']
chr1,"(6997301, 6997317)",2,16,['MinDist5:2665'],['F5']
chr1,"(6997409, 6997423)",1,14,['MinDist5:2559'],['F5']
chr1,"(6997784, 6997794)",1,10,['MinDist5:2188'],['F5']
chr1,"(6997854, 6997866)",1,12,['MinDist5:2116'],['F5']
chr1,"(6998101, 6998117)",1,16,['MinDist5:1865'],['F5']
chr1,"(6998753, 6998764)",1,11,['MinDist5:1218'],['F5']
chr1,"(6998763, 6998774)",1,11,['MinDist5:1208'],['F5']
chr1,"(6998764, 6998774)",1,10,['MinDist5:1208'],['F5']
chr1,"(6999392, 6999405)",1,13,['MinDist5:577'],['F5']
chr1,"(6999913, 6999925)",2,12,['MinDist5:57'],['5T']
chr1,"(6999987, 6999998)",1,11,['Gm37275-201'],['A']
