chromosome,read interval,reads,length of read,result,status
chr1,"(9529295, 9529312)",1,17,['MinDist3:298'],['3T']
chr1,"(9531122, 9531132)",1,10,['MinDist3:2125'],['F3']
chr1,"(9532852, 9532862)",1,10,['MinDist3:3855'],['F3']
chr1,"(9533227, 9533237)",1,10,['MinDist3:4230'],['F3']
chr1,"(9534698, 9534709)",1,11,['MinDist3:5701'],['F3']
chr1,"(9542584, 9542595)",1,11,['MinDist3:13587'],['F3']
chr1,"(9544080, 9544098)",1,18,['MinDist3:15083'],['F3']
chr1,"(9546531, 9546545)",1,14,['MinDist3:17534'],['F3']
chr1,"(9547984, 9547996)",1,12,['MinDist3:18987'],['F3']
chr1,"(9552024, 9552036)",1,12,['MinDist3:23027'],['F3']
chr1,"(9554638, 9554666)",1,28,['MinDist3:25641'],['F3']
chr1,"(9557988, 9557999)",2,11,['MinDist3:28991'],['F3']
chr1,"(9558915, 9558926)",1,11,['MinDist3:29918'],['F3']
chr1,"(9560277, 9560289)",1,12,['MinDist3:31280'],['F3']
chr1,"(9566580, 9566599)",1,19,['MinDist3:37583'],['F3']
chr1,"(9566585, 9566599)",1,14,['MinDist3:37588'],['F3']
chr1,"(9569068, 9569078)",1,10,['MinDist3:40071'],['F3']
chr1,"(9569470, 9569481)",1,11,['MinDist3:40473'],['F3']
chr1,"(9569791, 9569806)",1,15,['MinDist3:40794'],['F3']
chr1,"(9571396, 9571412)",1,16,['MinDist3:42399'],['F3']
chr1,"(9574310, 9574320)",1,10,['MinDist5:41312'],['F5']
chr1,"(9575432, 9575443)",1,11,['MinDist5:40189'],['F5']
chr1,"(9575772, 9575783)",1,11,['MinDist5:39849'],['F5']
chr1,"(9575997, 9576009)",1,12,['MinDist5:39623'],['F5']
chr1,"(9576663, 9576687)",1,24,['MinDist5:38945'],['F5']
chr1,"(9576907, 9576930)",1,23,['MinDist5:38702'],['F5']
chr1,"(9578638, 9578649)",1,11,['MinDist5:36983'],['F5']
chr1,"(9580294, 9580308)",1,14,['MinDist5:35324'],['F5']
chr1,"(9580794, 9580807)",1,13,['MinDist5:34825'],['F5']
chr1,"(9581864, 9581878)",1,14,['MinDist5:33754'],['F5']
chr1,"(9583810, 9583823)",1,13,['MinDist5:31809'],['F5']
chr1,"(9583953, 9583966)",1,13,['MinDist5:31666'],['F5']
chr1,"(9587313, 9587329)",1,16,['MinDist5:28303'],['F5']
chr1,"(9587726, 9587736)",1,10,['MinDist5:27896'],['F5']
chr1,"(9591682, 9591697)",1,15,['MinDist5:23935'],['F5']
chr1,"(9593407, 9593424)",2,17,['MinDist5:22208'],['F5']
chr1,"(9595563, 9595576)",1,13,['MinDist5:20056'],['F5']
chr1,"(9597142, 9597154)",1,12,['MinDist5:18478'],['F5']
chr1,"(9599369, 9599381)",1,12,['MinDist5:16251'],['F5']
chr1,"(9601606, 9601617)",2,11,['MinDist5:14015'],['F5']
chr1,"(9607128, 9607140)",1,12,['MinDist5:8492'],['F5']
chr1,"(9608592, 9608605)",1,13,['MinDist5:7027'],['F5']
chr1,"(9609898, 9609922)",1,24,['MinDist5:5710'],['F5']
chr1,"(9612999, 9613027)",1,28,['MinDist5:2605'],['F5']
chr1,"(9613242, 9613256)",1,14,['MinDist5:2376'],['F5']
chr1,"(9615412, 9615423)",1,11,['MinDist5:209'],['F5']
chr1,"(9615492, 9615505)",1,13,['MinDist5:127'],['F5']
chr1,"(9616236, 9616247)",1,11,['Rrs1-201'],['A']
chr1,"(9616467, 9616495)",1,28,['Rrs1-201'],['A']
chr1,"(9616596, 9616624)",1,28,['Rrs1-201'],['A']
chr1,"(9616597, 9616621)",1,24,['Rrs1-201'],['A']
chr1,"(9616599, 9616621)",1,22,['Rrs1-201'],['A']
chr1,"(9616699, 9616723)",1,24,['Rrs1-201'],['A']
chr1,"(9617249, 9617275)",1,26,['Rrs1-201'],['A']
chr1,"(9617628, 9617644)",2,16,['Rrs1-201'],['A']
chr1,"(9618205, 9618216)",1,11,"[['Adhfe1-203', 1, 2.0]]",['A']
chr1,"(9619265, 9619293)",1,28,"[['Adhfe1-203', 1, 2.0]]",['U']
chr1,"(9622040, 9622051)",1,11,"[['Adhfe1-203', 3, 4.0]]",['U']
chr1,"(9624176, 9624190)",1,14,"[['Adhfe1-203', 6, 7.0]]",['U']
chr1,"(9624666, 9624679)",1,13,"[['Adhfe1-203', 6, 7.0]]",['U']
chr1,"(9624988, 9625005)",1,17,"[['Adhfe1-203', 6, 7.0]]",['U']
chr1,"(9628795, 9628807)",1,12,"[['Adhfe1-203', 9, 10.0]]",['U']
chr1,"(9628864, 9628874)",1,10,"[['Adhfe1-203', 9, 10.0]]",['U']
chr1,"(9629523, 9629538)",1,15,"[['Adhfe1-203', 9, 10.0]]",['U']
chr1,"(9630376, 9630386)",1,10,"[['Adhfe1-203', 10, 11.0]]",['A']
chr1,"(9630835, 9630845)",1,10,"[['Adhfe1-203', 10, 11.0]]",['U']
chr1,"(9630964, 9630978)",1,14,"[['Adhfe1-203', 10, 11.0]]",['U']
chr1,"(9633199, 9633210)",1,11,"[['Adhfe1-203', 10, 11.0]]",['U']
chr1,"(9634005, 9634017)",2,12,"[['Adhfe1-203', 11, 12.0]]",['U']
chr1,"(9636105, 9636116)",1,11,"[['Adhfe1-203', 12, 13.0]]",['U']
chr1,"(9637335, 9637350)",1,15,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9638045, 9638055)",1,10,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9641625, 9641636)",1,11,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9642043, 9642062)",1,19,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9642045, 9642062)",3,17,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9642048, 9642062)",2,14,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9642819, 9642831)",1,12,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9645014, 9645039)",2,25,['Gm6161-201'],['A']
chr1,"(9645113, 9645139)",1,26,['Gm6161-201'],['A']
chr1,"(9645156, 9645184)",1,28,['Gm6161-201'],['A']
chr1,"(9645190, 9645213)",1,23,['Gm6161-201'],['A']
chr1,"(9645190, 9645218)",2,28,['Gm6161-201'],['A']
chr1,"(9645193, 9645217)",2,24,['Gm6161-201'],['A']
chr1,"(9645287, 9645313)",1,26,['Gm6161-201'],['A']
chr1,"(9645347, 9645375)",1,28,['Gm6161-201'],['A']
chr1,"(9645384, 9645409)",1,25,['Gm6161-201'],['A']
chr1,"(9645387, 9645413)",2,26,['Gm6161-201'],['A']
chr1,"(9645398, 9645423)",1,25,['Gm6161-201'],['A']
chr1,"(9645400, 9645428)",1,28,['Gm6161-201'],['A']
chr1,"(9645400, 9645424)",1,24,['Gm6161-201'],['A']
chr1,"(9645401, 9645426)",1,25,['Gm6161-201'],['A']
chr1,"(9645401, 9645428)",1,27,['Gm6161-201'],['A']
chr1,"(9645402, 9645429)",1,27,['Gm6161-201'],['A']
chr1,"(9645407, 9645432)",1,25,['Gm6161-201'],['A']
chr1,"(9645407, 9645433)",1,26,['Gm6161-201'],['A']
chr1,"(9645408, 9645436)",1,28,['Gm6161-201'],['A']
chr1,"(9645415, 9645438)",2,23,['Gm6161-201'],['A']
chr1,"(9645425, 9645451)",1,26,['Gm6161-201'],['A']
chr1,"(9645426, 9645453)",2,27,['Gm6161-201'],['A']
chr1,"(9645426, 9645452)",2,26,['Gm6161-201'],['A']
chr1,"(9645427, 9645453)",1,26,['Gm6161-201'],['A']
chr1,"(9645428, 9645456)",1,28,['Gm6161-201'],['A']
chr1,"(9645429, 9645457)",1,28,['Gm6161-201'],['A']
chr1,"(9645430, 9645457)",1,27,['Gm6161-201'],['A']
chr1,"(9645434, 9645458)",1,24,['Gm6161-201'],['A']
chr1,"(9645436, 9645460)",1,24,['Gm6161-201'],['A']
chr1,"(9645437, 9645465)",1,28,['Gm6161-201'],['A']
chr1,"(9645439, 9645467)",2,28,['Gm6161-201'],['A']
chr1,"(9645441, 9645469)",1,28,['Gm6161-201'],['A']
chr1,"(9645442, 9645469)",1,27,['Gm6161-201'],['A']
chr1,"(9645442, 9645465)",1,23,['Gm6161-201'],['A']
chr1,"(9645452, 9645478)",4,26,['Gm6161-201'],['A']
chr1,"(9645477, 9645499)",1,22,['Gm6161-201'],['A']
chr1,"(9645531, 9645559)",1,28,['Gm6161-201'],['A']
chr1,"(9645589, 9645612)",1,23,['Gm6161-201'],['A']
chr1,"(9645618, 9645646)",1,28,['Gm6161-201'],['A']
chr1,"(9645621, 9645648)",1,27,['Gm6161-201'],['A']
chr1,"(9645622, 9645648)",2,26,['Gm6161-201'],['A']
chr1,"(9645626, 9645654)",1,28,['Gm6161-201'],['A']
chr1,"(9645654, 9645682)",1,28,['Gm6161-201'],['A']
chr1,"(9645658, 9645686)",1,28,['Gm6161-201'],['A']
chr1,"(9645743, 9645766)",1,23,['Gm6161-201'],['A']
chr1,"(9645756, 9645780)",1,24,['Gm6161-201'],['A']
chr1,"(9645773, 9645801)",1,28,['Gm6161-201'],['A']
chr1,"(9645803, 9645826)",1,23,['Gm6161-201'],['A']
chr1,"(9645806, 9645833)",1,27,['Gm6161-201'],['A']
chr1,"(9645880, 9645901)",2,21,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9645904, 9645930)",1,26,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9645915, 9645942)",1,27,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9646002, 9646013)",1,11,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9646287, 9646298)",1,11,"[['Adhfe1-203', 13, 14.0]]",['U']
chr1,"(9646422, 9646435)",1,13,['MinDist3:548'],['F3']
chr1,"(9648399, 9648427)",1,28,['MinDist3:204'],['3T']
chr1,"(9648813, 9648823)",2,10,['MinDist3:618'],['F3']
chr1,"(9648847, 9648858)",1,11,['MinDist3:652'],['F3']
chr1,"(9649245, 9649260)",1,15,['MinDist3:1050'],['F3']
chr1,"(9649738, 9649750)",1,12,['MinDist3:1543'],['F3']
chr1,"(9650480, 9650490)",1,10,['MinDist3:2285'],['F3']
chr1,"(9651113, 9651124)",1,11,['MinDist3:2918'],['F3']
chr1,"(9651652, 9651673)",1,21,['MinDist3:3457'],['F3']
chr1,"(9652492, 9652506)",1,14,['MinDist3:4297'],['F3']
chr1,"(9652516, 9652529)",2,13,['MinDist3:4321'],['F3']
chr1,"(9653539, 9653550)",1,11,['MinDist3:5344'],['F3']
chr1,"(9655141, 9655163)",1,22,['MinDist3:6946'],['F3']
chr1,"(9655327, 9655339)",1,12,['MinDist3:7132'],['F3']
chr1,"(9656078, 9656093)",2,15,['MinDist3:7883'],['F3']
chr1,"(9656895, 9656906)",1,11,['MinDist3:8700'],['F3']
chr1,"(9656913, 9656925)",1,12,['MinDist3:8718'],['F3']
chr1,"(9657212, 9657224)",1,12,['MinDist3:9017'],['F3']
chr1,"(9660131, 9660141)",1,10,['MinDist5:11282'],['F5']
chr1,"(9660288, 9660299)",1,11,['MinDist5:11124'],['F5']
chr1,"(9660331, 9660344)",1,13,['MinDist5:11079'],['F5']
chr1,"(9660516, 9660530)",1,14,['MinDist5:10893'],['F5']
chr1,"(9660728, 9660740)",1,12,['MinDist5:10683'],['F5']
chr1,"(9661398, 9661408)",1,10,['MinDist5:10015'],['F5']
chr1,"(9661925, 9661935)",1,10,['MinDist5:9488'],['F5']
chr1,"(9664038, 9664049)",1,11,['MinDist5:7374'],['F5']
chr1,"(9665005, 9665015)",1,10,['MinDist5:6408'],['F5']
chr1,"(9665547, 9665557)",1,10,['MinDist5:5866'],['F5']
chr1,"(9666681, 9666701)",1,20,['MinDist5:4722'],['F5']
chr1,"(9667182, 9667195)",3,13,['MinDist5:4228'],['F5']
chr1,"(9667195, 9667208)",1,13,['MinDist5:4215'],['F5']
chr1,"(9667216, 9667228)",1,12,['MinDist5:4195'],['F5']
chr1,"(9668112, 9668123)",1,11,['MinDist5:3300'],['F5']
chr1,"(9668438, 9668448)",2,10,['MinDist5:2975'],['F5']
chr1,"(9668743, 9668756)",1,13,['MinDist5:2667'],['F5']
chr1,"(9669885, 9669900)",2,15,['MinDist5:1523'],['F5']
chr1,"(9669885, 9669904)",1,19,['MinDist5:1519'],['F5']
chr1,"(9669934, 9669946)",2,12,['MinDist5:1477'],['F5']
chr1,"(9669976, 9669990)",1,14,['MinDist5:1433'],['F5']
chr1,"(9671457, 9883925)",1,212468,[],['S']
chr1,"(9671778, 9671791)",1,13,"[['Vxn-201', 1, 2.0]]",['A']
chr1,"(9672003, 9672018)",2,15,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9673524, 9673534)",1,10,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9673735, 9673763)",1,28,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9673892, 9673910)",1,18,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9674092, 9674105)",1,13,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9675129, 9675142)",2,13,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9675167, 9675186)",1,19,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9675595, 9675605)",1,10,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9676470, 9676482)",2,12,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9676716, 9676731)",1,15,"[['Vxn-201', 1, 2.0]]",['U']
chr1,"(9679014, 9679024)",1,10,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9679310, 9679335)",2,25,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9680336, 9680346)",1,10,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9680458, 9680470)",1,12,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9680656, 9680667)",1,11,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9681023, 9681033)",2,10,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9681023, 9681034)",1,11,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9681472, 9681497)",1,25,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9681542, 9681552)",1,10,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9681870, 9681881)",2,11,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9682019, 9682030)",2,11,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9683277, 9683303)",1,26,"[['Vxn-201', 2, 3.0]]",['U']
chr1,"(9683677, 9683686)",1,9,"[['Vxn-201', 3, 4.0]]",['A']
chr1,"(9683984, 9684010)",1,26,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9684526, 9684554)",1,28,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9684755, 9684765)",2,10,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9684838, 9684852)",1,14,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9684893, 9684904)",1,11,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9685018, 9685032)",1,14,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9685958, 9685968)",1,10,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9686156, 9686168)",1,12,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9686812, 9686831)",1,19,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9687214, 9687224)",2,10,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9687783, 9687794)",2,11,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9688056, 9688072)",1,16,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9688274, 9688293)",1,19,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9688436, 9688446)",1,10,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9688661, 9688672)",1,11,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9689558, 9689572)",1,14,"[['Vxn-201', 3, 4.0]]",['U']
chr1,"(9690111, 9690122)",1,11,"[['Vxn-201', 4, 5.0]]",['A']
chr1,"(9690265, 9690285)",1,20,"[['Vxn-201', 4, 5.0]]",['U']
chr1,"(9690423, 9690433)",2,10,"[['Vxn-201', 4, 5.0]]",['U']
chr1,"(9692803, 9692814)",1,11,"[['Vxn-201', 4, 5.0]]",['U']
chr1,"(9693293, 9693307)",1,14,"[['Vxn-201', 5, 6.0]]",['U']
chr1,"(9693822, 9693832)",1,10,"[['Vxn-201', 5, 6.0]]",['U']
chr1,"(9695176, 9695204)",1,28,['MinDist3:46981'],['F3']
chr1,"(9695259, 9695286)",1,27,['MinDist3:47064'],['F3']
chr1,"(9695325, 9695337)",1,12,['MinDist3:47130'],['F3']
chr1,"(9695510, 9695522)",1,12,['MinDist3:47315'],['F3']
chr1,"(9696157, 9696185)",1,28,['MinDist3:47962'],['F3']
chr1,"(9698132, 9698142)",1,10,['MinDist3:764'],['F3']
chr1,"(9698431, 9698442)",1,11,['MinDist3:1063'],['F3']
chr1,"(9698774, 9698789)",1,15,['MinDist3:1406'],['F3']
chr1,"(9699347, 9699357)",2,10,['MinDist3:1979'],['F3']
chr1,"(9699916, 9699926)",1,10,['MinDist3:2548'],['F3']
chr1,"(9700647, 9700660)",1,13,['MinDist3:3279'],['F3']
chr1,"(9701740, 9701751)",1,11,['MinDist3:4372'],['F3']
chr1,"(9702834, 9702845)",1,11,['MinDist3:5466'],['F3']
chr1,"(9703157, 9703168)",1,11,['MinDist3:5789'],['F3']
chr1,"(9704312, 9704326)",1,14,['MinDist3:6944'],['F3']
chr1,"(9704322, 9704343)",1,21,['MinDist3:6954'],['F3']
chr1,"(9704475, 9704488)",1,13,['MinDist3:7107'],['F3']
chr1,"(9705081, 9705096)",1,15,['MinDist3:7713'],['F3']
chr1,"(9705594, 9705607)",1,13,['MinDist3:8226'],['F3']
chr1,"(9706349, 9706360)",1,11,['MinDist3:8981'],['F3']
chr1,"(9706562, 9706576)",1,14,['MinDist3:9194'],['F3']
chr1,"(9706845, 9706855)",1,10,['MinDist3:9477'],['F3']
chr1,"(9707093, 9707106)",1,13,['MinDist3:9725'],['F3']
chr1,"(9708266, 9708277)",2,11,['MinDist3:10898'],['F3']
chr1,"(9708923, 9747575)",2,38652,[],['S']
chr1,"(9708923, 9708937)",1,14,['MinDist3:11555'],['F3']
chr1,"(9710474, 9710488)",1,14,['MinDist3:13106'],['F3']
chr1,"(9711599, 9711610)",2,11,['MinDist3:14231'],['F3']
chr1,"(9712468, 9712479)",2,11,['MinDist3:15100'],['F3']
chr1,"(9712715, 9712728)",1,13,['MinDist3:15347'],['F3']
chr1,"(9712780, 9712791)",2,11,['MinDist3:15412'],['F3']
chr1,"(9712876, 9712887)",1,11,['MinDist3:15508'],['F3']
chr1,"(9713130, 9713142)",1,12,['MinDist3:15762'],['F3']
chr1,"(9714266, 9714278)",2,12,['MinDist3:16898'],['F3']
chr1,"(9714378, 9714389)",1,11,['MinDist3:17010'],['F3']
chr1,"(9715544, 9715555)",2,11,['MinDist3:18176'],['F3']
chr1,"(9715615, 9715626)",1,11,['MinDist3:18247'],['F3']
chr1,"(9715889, 9715904)",1,15,['MinDist3:18521'],['F3']
chr1,"(9715929, 9715939)",1,10,['MinDist3:18561'],['F3']
chr1,"(9716135, 9716144)",1,9,['MinDist3:18767'],['F3']
chr1,"(9716261, 9716275)",1,14,['MinDist3:18893'],['F3']
chr1,"(9718961, 9718972)",1,11,['MinDist3:21593'],['F3']
chr1,"(9719627, 9719641)",1,14,['MinDist3:22259'],['F3']
chr1,"(9720765, 9720777)",1,12,['MinDist3:23397'],['F3']
chr1,"(9721290, 9721303)",1,13,['MinDist3:23922'],['F3']
chr1,"(9721885, 9721895)",1,10,['MinDist3:24517'],['F3']
chr1,"(9722450, 9722463)",1,13,['MinDist3:25082'],['F3']
chr1,"(9722724, 9722735)",4,11,['MinDist3:25356'],['F3']
chr1,"(9723593, 9723603)",1,10,['MinDist3:26225'],['F3']
chr1,"(9725161, 9725174)",2,13,['MinDist3:27793'],['F3']
